key,shape,dtype,numel
blocks.0.0.bn1.bias,"(32,)",float32,32
blocks.0.0.bn1.num_batches_tracked,(),int64,1
blocks.0.0.bn1.running_mean,"(32,)",float32,32
blocks.0.0.bn1.running_var,"(32,)",float32,32
blocks.0.0.bn1.weight,"(32,)",float32,32
blocks.0.0.bn2.bias,"(16,)",float32,16
blocks.0.0.bn2.num_batches_tracked,(),int64,1
blocks.0.0.bn2.running_mean,"(16,)",float32,16
blocks.0.0.bn2.running_var,"(16,)",float32,16
blocks.0.0.bn2.weight,"(16,)",float32,16
blocks.0.0.conv_dw.weight,"(32, 1, 3, 3)",float32,288
blocks.0.0.conv_pw.weight,"(16, 32, 1, 1)",float32,512
blocks.1.0.bn1.bias,"(96,)",float32,96
blocks.1.0.bn1.num_batches_tracked,(),int64,1
blocks.1.0.bn1.running_mean,"(96,)",float32,96
blocks.1.0.bn1.running_var,"(96,)",float32,96
blocks.1.0.bn1.weight,"(96,)",float32,96
blocks.1.0.bn2.bias,"(96,)",float32,96
blocks.1.0.bn2.num_batches_tracked,(),int64,1
blocks.1.0.bn2.running_mean,"(96,)",float32,96
blocks.1.0.bn2.running_var,"(96,)",float32,96
blocks.1.0.bn2.weight,"(96,)",float32,96
blocks.1.0.bn3.bias,"(24,)",float32,24
blocks.1.0.bn3.num_batches_tracked,(),int64,1
blocks.1.0.bn3.running_mean,"(24,)",float32,24
blocks.1.0.bn3.running_var,"(24,)",float32,24
blocks.1.0.bn3.weight,"(24,)",float32,24
blocks.1.0.conv_dw.weight,"(96, 1, 3, 3)",float32,864
blocks.1.0.conv_pw.weight,"(96, 16, 1, 1)",float32,1536
blocks.1.0.conv_pwl.weight,"(24, 96, 1, 1)",float32,2304
blocks.1.1.bn1.bias,"(144,)",float32,144
blocks.1.1.bn1.num_batches_tracked,(),int64,1
blocks.1.1.bn1.running_mean,"(144,)",float32,144
blocks.1.1.bn1.running_var,"(144,)",float32,144
blocks.1.1.bn1.weight,"(144,)",float32,144
blocks.1.1.bn2.bias,"(144,)",float32,144
blocks.1.1.bn2.num_batches_tracked,(),int64,1
blocks.1.1.bn2.running_mean,"(144,)",float32,144
blocks.1.1.bn2.running_var,"(144,)",float32,144
blocks.1.1.bn2.weight,"(144,)",float32,144
blocks.1.1.bn3.bias,"(24,)",float32,24
blocks.1.1.bn3.num_batches_tracked,(),int64,1
blocks.1.1.bn3.running_mean,"(24,)",float32,24
blocks.1.1.bn3.running_var,"(24,)",float32,24
blocks.1.1.bn3.weight,"(24,)",float32,24
blocks.1.1.conv_dw.weight,"(144, 1, 3, 3)",float32,1296
blocks.1.1.conv_pw.weight,"(144, 24, 1, 1)",float32,3456
blocks.1.1.conv_pwl.weight,"(24, 144, 1, 1)",float32,3456
blocks.2.0.bn1.bias,"(144,)",float32,144
blocks.2.0.bn1.num_batches_tracked,(),int64,1
blocks.2.0.bn1.running_mean,"(144,)",float32,144
blocks.2.0.bn1.running_var,"(144,)",float32,144
blocks.2.0.bn1.weight,"(144,)",float32,144
blocks.2.0.bn2.bias,"(144,)",float32,144
blocks.2.0.bn2.num_batches_tracked,(),int64,1
blocks.2.0.bn2.running_mean,"(144,)",float32,144
blocks.2.0.bn2.running_var,"(144,)",float32,144
blocks.2.0.bn2.weight,"(144,)",float32,144
blocks.2.0.bn3.bias,"(32,)",float32,32
blocks.2.0.bn3.num_batches_tracked,(),int64,1
blocks.2.0.bn3.running_mean,"(32,)",float32,32
blocks.2.0.bn3.running_var,"(32,)",float32,32
blocks.2.0.bn3.weight,"(32,)",float32,32
blocks.2.0.conv_dw.weight,"(144, 1, 3, 3)",float32,1296
blocks.2.0.conv_pw.weight,"(144, 24, 1, 1)",float32,3456
blocks.2.0.conv_pwl.weight,"(32, 144, 1, 1)",float32,4608
blocks.2.1.bn1.bias,"(192,)",float32,192
blocks.2.1.bn1.num_batches_tracked,(),int64,1
blocks.2.1.bn1.running_mean,"(192,)",float32,192
blocks.2.1.bn1.running_var,"(192,)",float32,192
blocks.2.1.bn1.weight,"(192,)",float32,192
blocks.2.1.bn2.bias,"(192,)",float32,192
blocks.2.1.bn2.num_batches_tracked,(),int64,1
blocks.2.1.bn2.running_mean,"(192,)",float32,192
blocks.2.1.bn2.running_var,"(192,)",float32,192
blocks.2.1.bn2.weight,"(192,)",float32,192
blocks.2.1.bn3.bias,"(32,)",float32,32
blocks.2.1.bn3.num_batches_tracked,(),int64,1
blocks.2.1.bn3.running_mean,"(32,)",float32,32
blocks.2.1.bn3.running_var,"(32,)",float32,32
blocks.2.1.bn3.weight,"(32,)",float32,32
blocks.2.1.conv_dw.weight,"(192, 1, 3, 3)",float32,1728
blocks.2.1.conv_pw.weight,"(192, 32, 1, 1)",float32,6144
blocks.2.1.conv_pwl.weight,"(32, 192, 1, 1)",float32,6144
