src_key,dst_key
blocks.0.0.bn1.bias,
blocks.0.0.bn1.num_batches_tracked,
blocks.0.0.bn1.running_mean,
blocks.0.0.bn1.running_var,
blocks.0.0.bn1.weight,
blocks.0.0.bn2.bias,
blocks.0.0.bn2.num_batches_tracked,
blocks.0.0.bn2.running_mean,
blocks.0.0.bn2.running_var,
blocks.0.0.bn2.weight,
blocks.0.0.conv_dw.weight,
blocks.0.0.conv_pw.weight,
blocks.1.0.bn1.bias,
blocks.1.0.bn1.num_batches_tracked,
blocks.1.0.bn1.running_mean,
blocks.1.0.bn1.running_var,
blocks.1.0.bn1.weight,
blocks.1.0.bn2.bias,
blocks.1.0.bn2.num_batches_tracked,
blocks.1.0.bn2.running_mean,
blocks.1.0.bn2.running_var,
blocks.1.0.bn2.weight,
blocks.1.0.bn3.bias,
blocks.1.0.bn3.num_batches_tracked,
blocks.1.0.bn3.running_mean,
blocks.1.0.bn3.running_var,
blocks.1.0.bn3.weight,
blocks.1.0.conv_dw.weight,
blocks.1.0.conv_pw.weight,
blocks.1.0.conv_pwl.weight,
blocks.1.1.bn1.bias,
blocks.1.1.bn1.num_batches_tracked,
blocks.1.1.bn1.running_mean,
blocks.1.1.bn1.running_var,
blocks.1.1.bn1.weight,
blocks.1.1.bn2.bias,
blocks.1.1.bn2.num_batches_tracked,
blocks.1.1.bn2.running_mean,
blocks.1.1.bn2.running_var,
blocks.1.1.bn2.weight,
blocks.1.1.bn3.bias,
blocks.1.1.bn3.num_batches_tracked,
blocks.1.1.bn3.running_mean,
blocks.1.1.bn3.running_var,
blocks.1.1.bn3.weight,
blocks.1.1.conv_dw.weight,
blocks.1.1.conv_pw.weight,
blocks.1.1.conv_pwl.weight,
blocks.2.0.bn1.bias,
blocks.2.0.bn1.num_batches_tracked,
blocks.2.0.bn1.running_mean,
blocks.2.0.bn1.running_var,
blocks.2.0.bn1.weight,
blocks.2.0.bn2.bias,
blocks.2.0.bn2.num_batches_tracked,
blocks.2.0.bn2.running_mean,
blocks.2.0.bn2.running_var,
blocks.2.0.bn2.weight,
blocks.2.0.bn3.bias,
blocks.2.0.bn3.num_batches_tracked,
blocks.2.0.bn3.running_mean,
blocks.2.0.bn3.running_var,
blocks.2.0.bn3.weight,
blocks.2.0.conv_dw.weight,
blocks.2.0.conv_pw.weight,
blocks.2.0.conv_pwl.weight,
blocks.2.1.bn1.bias,
blocks.2.1.bn1.num_batches_tracked,
blocks.2.1.bn1.running_mean,
blocks.2.1.bn1.running_var,
blocks.2.1.bn1.weight,
blocks.2.1.bn2.bias,
blocks.2.1.bn2.num_batches_tracked,
blocks.2.1.bn2.running_mean,
blocks.2.1.bn2.running_var,
blocks.2.1.bn2.weight,
blocks.2.1.bn3.bias,
blocks.2.1.bn3.num_batches_tracked,
blocks.2.1.bn3.running_mean,
blocks.2.1.bn3.running_var,
blocks.2.1.bn3.weight,
